0,191,1,0
1,191,1,0
2,191,1,0
3,191,1,0
4,191,1,0
5,190,2,0
6,190,2,0
7,190,2,0
8,190,2,0
9,190,2,0
10,188,4,0
11,188,4,0
12,188,4,0
13,188,4,0
14,181,10,1
15,180,11,1
16,178,13,1
17,178,13,1
18,174,17,1
19,168,23,1
20,159,31,2
21,150,40,2
22,141,49,2
23,137,53,2
24,130,59,3
25,122,65,5
26,115,71,6
27,103,83,6
28,97,82,13
29,91,88,13
30,89,86,17
31,85,87,20
32,83,85,24
33,83,76,33
34,82,68,42
35,80,63,49
36,75,60,57
37,74,56,62
38,69,59,64
39,69,44,79
40,67,38,87
41,64,34,94
42,48,44,100
43,44,47,101
44,40,47,105
45,36,50,106
46,30,52,110
47,20,61,111
48,19,61,112
49,16,61,115
50,13,59,120
51,10,60,122
52,9,58,125
53,8,55,129
54,7,47,138
55,6,45,141
56,6,38,148
57,6,32,154
58,6,27,159
59,6,21,165
60,6,17,169
61,6,12,174
62,6,10,176
63,6,8,178
64,6,5,181
65,6,4,182
66,6,2,184
67,6,0,186
