0,191,1,0
1,191,1,0
2,191,1,0
3,191,1,0
4,191,1,0
5,190,2,0
6,190,2,0
7,190,2,0
8,189,3,0
9,189,3,0
10,188,4,0
11,188,4,0
12,187,5,0
13,183,9,0
14,182,9,1
15,181,10,1
16,178,13,1
17,174,17,1
18,171,20,1
19,165,26,1
20,158,33,1
21,151,38,3
22,138,50,4
23,135,53,4
24,126,61,5
25,121,66,5
26,108,77,7
27,102,81,9
28,98,85,9
29,92,85,15
30,89,84,19
31,88,82,22
32,84,81,27
33,84,72,36
34,84,65,43
35,84,59,49
36,84,49,59
37,83,43,66
38,80,34,78
39,80,30,82
40,79,24,89
41,79,21,92
42,79,15,98
43,75,16,101
44,74,13,105
45,72,13,107
46,72,13,107
47,68,16,108
48,61,23,108
49,57,27,108
50,50,32,110
51,44,38,110
52,38,43,111
53,32,48,112
54,28,51,113
55,23,55,114
56,23,55,114
57,19,54,119
58,16,54,122
59,13,55,124
60,9,59,124
61,9,51,132
62,9,49,134
63,9,42,141
64,7,41,144
65,6,33,153
66,6,27,159
67,5,23,164
68,5,19,168
69,5,16,171
70,4,14,174
71,4,10,178
72,4,9,179
73,4,6,182
74,4,5,183
75,4,5,183
76,4,5,183
77,4,4,184
78,4,4,184
79,4,2,186
80,4,1,187
81,4,1,187
82,4,1,187
83,4,1,187
84,4,1,187
85,4,0,188
